loan_number,loan_date,card_number,item_barcode,branch_id,due_date,returned_date
1,2023-01-07,10000001,20000001,1,2023-01-28,2023-01-28
2,2023-01-07,10000001,20000003,1,2023-01-28,2023-01-28
3,2023-01-07,10000002,20000013,1,2023-01-28,2023-01-26
4,2023-01-15,10000003,20000002,2,2023-02-05,2023-02-03
5,2023-02-24,10000004,20000001,1,2023-03-17,2023-03-21
6,2023-02-28,10000009,20000007,3,2023-03-21,2023-03-21
7,2023-02-28,10000009,20000016,3,2023-03-21,2023-03-21
8,2023-03-07,10000010,20000006,2,2023-03-28,2023-03-21
9,2023-03-07,10000010,20000010,2,2023-03-28,2023-03-21
10,2023-03-07,10000004,20000003,1,2023-03-28,2023-03-25
11,2023-03-07,10000004,20000013,1,2023-03-28,2023-03-25
12,2023-03-20,10000002,20000001,1,2023-04-10,NULL
13,2023-03-25,10000009,20000005,5,2023-04-15,NULL
14,2023-03-25,10000010,20000008,1,2023-04-15,NULL
15,2023-03-25,10000010,20000009,1,2023-04-15,NULL
16,2023-03-25,10000001,20000012,4,2023-04-15,NULL
